Zeit t / s;Ereignisse N_A;Kanal n_A;Energie E_A / keV;Rate R_A / 1/s;Spannung U_A / V
163.001;1;163;14.2132564593675;6.6626505689626;0.776041666666667
163.999;0;164;14.2996419497322;9.99892678185875;0.776041666666667
165;1;165;14.3860274400969;14.9919837862695;1.1640625
166;0;166;14.4724129304616;9.99883569113286;1.1640625
166.999;1;167;14.5587984208263;9.0201103359941;0.388020833333333
168;0;168;14.645183911191;4.44392648012471;0.776041666666667
169;1;169;14.7315694015557;9.00043472099702;1.1640625
169.999;1;170;14.8179548919204;4.43378267503854;0.388020833333333
171;0;171;14.9043403822851;9.99972445203732;1.1640625
171.999;1;172;14.9907258726498;12.0199085745721;1.1640625
173;0;173;15.0771113630145;5.54780465602834;1.1640625
174;2;174;15.1634968533792;10.0103887814774;1.1640625
175.001;0;175;15.2498823437439;9.99920784053441;0.776041666666667
176;0;176;15.3362678341086;11.1107802567657;1.1640625
177;0;177;15.4226533244733;14.4434061240264;0
178.003;2;178;15.509038814838;7.76703769065997;1.1640625
178.999;2;179;15.5954243052027;15.9823937949954;1.1640625
180;0;180;15.6818097955674;11.0112667281162;0.776041666666667
181;0;181;15.7681952859321;3.32861742213892;1.1640625
182;0;182;15.8545807762968;16.0391113730833;1.1640625
183;2;183;15.9409662666615;7.7687375568408;1.1640625
184.004;0;184;16.0273517570261;11.0134573435281;1.1640625
185;2;185;16.1137372473908;6.66646370988261;0.776041666666667
186;2;186;16.2001227377555;7.76309689897549;0.776041666666667
187;1;187;16.2865082281202;8.99462301436201;1.1640625
188.001;0;188;16.3728937184849;17.0131171132944;1.1640625
188.999;1;189;16.4592792088496;7.99227626421826;0.776041666666667
190;0;190;16.5456646992143;6.66201879821844;1.1640625
191.001;0;191;16.632050189579;7.99378323477831;1.1640625
192;1;192;16.7184356799437;7.0107867965652;0
193;0;193;16.8048211703084;8.88218185467951;0.776041666666667
194;1;194;16.8912066606731;4.43981125474394;1.1640625
194.999;5;195;16.9775921510378;11.0254312597437;0.776041666666667
196.001;2;196;17.0639776414025;13.3096067410496;1.1640625
196.999;2;197;17.1503631317672;11.0165788495106;1.1640625
197.999;1;198;17.2367486221319;9.98170796561368;1.1640625
199;0;199;17.3231341124966;8.00243033809368;1.1640625
199.999;0;200;17.4095196028613;14.4379842486034;1.1640625
201;1;201;17.495905093226;10.0026456997876;1.1640625
202;2;202;17.5822905835907;5.00116827290855;1.1640625
203;1;203;17.6686760739554;4.44188147883116;1.1640625
204.001;3;204;17.7550615643201;8.00446809409012;1.1640625
205;0;205;17.8414470546847;8.00830461188252;1.1640625
206;0;206;17.9278325450494;4.43430270146589;1.1640625
207;0;207;18.0142180354141;4.44269106237183;1.1640625
208;3;208;18.1006035257788;11.00006380037;1.1640625
208.999;0;209;18.1869890161435;12.2163909316175;1.1640625
210;0;210;18.2733745065082;6.66528325009876;0.776041666666667
210.999;2;211;18.3597599968729;7.00168530565307;1.1640625
211.999;1;212;18.4461454872376;7.00851815296311;1.1640625
213;2;213;18.5325309776023;14.419322779868;1.1640625
214;0;214;18.618916467967;2.99924149182672;1.1640625
214.999;0;215;18.7053019583317;11.0060478232789;1.1640625
216;2;216;18.7916874486964;8.00990023669255;1.1640625
217;1;217;18.8780729390611;5.54635907594552;1.1640625
218;0;218;18.9644584294258;6.98982421390939;1.1640625
219;1;219;19.0508439197905;5.00563534427058;1.1640625
219.999;1;220;19.1372294101552;13.0100320357027;1.1640625
221;4;221;19.2236149005199;12.2019277049095;1.1640625
222;0;222;19.3100003908846;14.9964668324143;1.1640625
222.999;0;223;19.3963858812493;11.1094780178425;0.388020833333333
224;1;224;19.482771371614;5.0058262812087;1.1640625
224.999;0;225;19.5691568619787;8.88518672775233;1.1640625
226;0;226;19.6555423523434;12.0048967974037;1.1640625
227;1;227;19.7419278427081;16.6430280192034;1.1640625
228;1;228;19.8283133330727;8.01867549522839;1.1640625
229;0;229;19.9146988234374;15.5541366726435;1.1640625
