Zeit t / s;Ereignisse N_A;Kanal n_A;Energie E_A / keV;Rate R_A / 1/s;Spannung U_A / V
151.001;4;151;13.1766305749912;6.99882279800538;0.776041666666667
152.001;0;152;13.2630160653559;1.99971664015209;0.776041666666667
152.999;1;153;13.3494015557206;4.00948925822745;1.1640625
153.999;1;154;13.4357870460853;3.33093432041501;0.776041666666667
155;2;155;13.52217253645;6.66223036149373;1.1640625
155.999;3;156;13.6085580268147;4.00520235734195;0.776041666666667
156.999;2;157;13.6949435171794;6.64675004940751;1.1640625
158;1;158;13.7813290075441;4.00554808465205;0
159;2;159;13.8677144979088;1.99955869739549;1.1640625
160;2;160;13.9540999882735;9.0037536649029;0.776041666666667
161;1;161;14.0404854786382;8.88756464175727;1.1640625
162.001;1;162;14.1268709690029;2.21819299787453;1.1640625
162.999;5;163;14.2132564593675;7.00616823051014;1.1640625
163.999;0;164;14.2996419497322;3.99604750940844;1.1640625
165.001;0;165;14.3860274400969;3.00340135203118;1.1640625
166;1;166;14.4724129304616;5.55503338241761;1.1640625
167;1;167;14.5587984208263;5.00086114828974;1.1640625
168;3;168;14.645183911191;6.00110600383651;1.1640625
169.001;2;169;14.7315694015557;5.99908813860293;1.1640625
169.999;5;170;14.8179548919204;8.88363668546629;1.1640625
170.999;1;171;14.9043403822851;5.555370376543;1.1640625
172;1;172;14.9907258726498;5.00111774981708;1.1640625
173;3;173;15.0771113630145;4.00549955088336;0
174;2;174;15.1634968533792;8.87103051878452;0.388020833333333
174.999;1;175;15.2498823437439;3.32715886584696;0.388020833333333
176.001;1;176;15.3362678341086;3.33332074078831;0.776041666666667
176.999;3;177;15.4226533244733;4.00094182170483;0.776041666666667
178;3;178;15.509038814838;3.33125980917211;0.776041666666667
179.001;1;179;15.5954243052027;8.00009440111393;0.388020833333333
180;4;180;15.6818097955674;4.00271704432969;0
180.999;2;181;15.7681952859321;8.99685290085528;0
182;2;182;15.8545807762968;5.55438975086229;1.1640625
182.999;0;183;15.9409662666615;4.00177678889427;1.1640625
184;0;184;16.0273517570261;3.32730278189131;1.1640625
184.999;5;185;16.1137372473908;2.00305666446998;1.1640625
185.999;0;186;16.2001227377555;5.54538039867736;0.388020833333333
186.999;1;187;16.2865082281202;2.00466585978866;0.776041666666667
187.999;6;188;16.3728937184849;5.54468796713996;1.1640625
189;3;189;16.4592792088496;5.00182566636822;0
190.001;3;190;16.5456646992143;9.00038971687474;1.1640625
190.999;4;191;16.632050189579;7.00950910004512;0.388020833333333
191.999;2;192;16.7184356799437;3.32359004447407;0
193;3;193;16.8048211703084;2.0020170321599;1.1640625
194;6;194;16.8912066606731;6.00111320649981;1.1640625
195;5;195;16.9775921510378;1.00108768176624;1.1640625
