Zeit t / s;Ereignisse N_A;Kanal n_A;Energie E_A / keV;Rate R_A / 1/s
218;0;218;18.9644584294258;77.5438108684298
219.001;1;219;19.0508439197905;81.1171250168118
220.001;2;220;19.1372294101552;62.0247602843055
221;2;221;19.2236149005199;66.5321313047095
222.001;3;222;19.3100003908846;64.1680111034722
223;2;223;19.3963858812493;70.9954201298196
224;0;224;19.482771371614;78.8600786734802
225;1;225;19.5691568619787;74.3831444686085
226;0;226;19.6555423523434;55.0491754284102
227.001;1;227;19.7419278427081;52.1208587343969
228;0;228;19.8283133330727;70.0236960187327
229.001;1;229;19.9146988234374;70.0926975925662
230.001;1;230;20.0010843138021;69.8999421161908
231.001;0;231;20.0874698041668;70.0937574099115
232;0;232;20.1738552945315;57.6757557742305
233.001;0;233;20.2602407848962;73.1161303498346
234;1;234;20.3466262752609;67.599210707183
234.999;0;235;20.4330117656256;66.096262596846
235.999;0;236;20.5193972559903;72.0537088345653
237;0;237;20.605782746355;75.4424672970772
238.001;0;238;20.6921682367197;60.0805800739952
239;1;239;20.7785537270844;79.0030890207807
240;0;240;20.8649392174491;67.7423861444832
241.001;2;241;20.9513247078138;70.034106609919
242;1;242;21.0377101981785;68.7035876791862
243;0;243;21.1240956885432;74.1637832990376
243.999;0;244;21.2104811789079;58.8371318252599
245;0;245;21.2968666692726;71.0656133262238
246;0;246;21.3832521596373;62.2175835557149
247;0;247;21.469637650002;83.2468768269221
247.999;1;248;21.5560231403667;95.0552651311473
249;2;249;21.6424086307313;74.1272394064412
250;0;250;21.728794121096;65.4450697344949
251;0;251;21.8151796114607;70.0271144987339
252;0;252;21.9015651018254;89.9956702083111
253;1;253;21.9879505921901;69.958266007756
254;1;254;22.0743360825548;74.1207352656743
255.001;0;255;22.1607215729195;76.6394000712191
256;0;256;22.2471070632842;89.9006797268307
257;0;257;22.3334925536489;63.3161676167795
257.999;0;258;22.4198780440136;71.1058650783987
259;0;259;22.5062635343783;79.9571607301066
260;0;260;22.592649024743;86.0346547589369
261;0;261;22.6790345151077;71.0629698969487
262.001;0;262;22.7654200054724;75.4970453454129
263.001;0;263;22.8518054958371;70.0721322529412
264;0;264;22.9381909862018;63.3177430979217
265.001;0;265;23.0245764765665;67.0055614616013
266;2;266;23.1109619669312;73.0959237807775
267.001;1;267;23.1973474572959;67.656589790665
268;0;268;23.2837329476606;61.0147045437951
269;0;269;23.3701184380253;74.097067157977
270;0;270;23.4565039283899;63.2369321434436
271;0;271;23.5428894187546;66.0173229455409
272.001;0;272;23.6292749091193;62.0600555157226
273.001;0;273;23.715660399484;67.6442930395131
274;0;274;23.8020458898487;67.0089322906744
275;1;275;23.8884313802134;72.9498907200644
276.001;0;276;23.9748168705781;63.1442467172008
277.001;1;277;24.0612023609428;75.4331359573563
278;0;278;24.1475878513075;58.0916453797511
279;0;279;24.2339733416722;83.2457403154681
280;0;280;24.3203588320369;84.0016212312898
281;0;281;24.4067443224016;72.1708526131289
282;1;282;24.4931298127663;68.8670197841619
283;0;283;24.579515303131;71.0439114646335
284;1;284;24.6659007934957;75.5042546092294
284.999;0;285;24.7522862838604;68.0553834710688
286.001;0;286;24.8386717742251;73.2982804667635
287;0;287;24.9250572645898;65.0232458103772
288.001;1;288;25.0114427549545;61.0817579329933
289.001;0;289;25.0978282453192;81.0072663517918
290;0;290;25.1842137356839;72.1894401953246
291;0;291;25.2705992260486;68.0346160126272
292.001;0;292;25.3569847164132;66.5743428474357
293;0;293;25.4433702067779;76.0885213857802
293.999;0;294;25.5297556971426;68.783016541317
295;0;295;25.6161411875073;80.8622915175456
296;0;296;25.702526677872;80.1909265770874
297;0;297;25.7889121682367;79.023888921621
298;0;298;25.8752976586014;74.0350407848034
299.001;0;299;25.9616831489661;67.6595614883994
299.999;0;300;26.0480686393308;61.9201848816875
;0;301;26.1344541296955;
;0;302;26.2208396200602;
;0;303;26.3072251104249;
;0;304;26.3936106007896;
;1;305;26.4799960911543;
;0;306;26.566381581519;
;0;307;26.6527670718837;
;0;308;26.7391525622484;
;0;309;26.8255380526131;
;0;310;26.9119235429778;
;0;311;26.9983090333425;
;0;312;27.0846945237071;
;1;313;27.1710800140718;
;0;314;27.2574655044365;
;0;315;27.3438509948012;
;0;316;27.4302364851659;
;1;317;27.5166219755306;
;0;318;27.6030074658953;
;0;319;27.68939295626;
;0;320;27.7757784466247;
;0;321;27.8621639369894;
;0;322;27.9485494273541;
;0;323;28.0349349177188;
;0;324;28.1213204080835;
;0;325;28.2077058984482;
;0;326;28.2940913888129;
;0;327;28.3804768791776;
;0;328;28.4668623695423;
;0;329;28.553247859907;
;0;330;28.6396333502717;
;0;331;28.7260188406364;
;0;332;28.8124043310011;
;0;333;28.8987898213658;
;0;334;28.9851753117305;
;0;335;29.0715608020951;
;0;336;29.1579462924598;
;0;337;29.2443317828245;
;0;338;29.3307172731892;
;0;339;29.4171027635539;
;0;340;29.5034882539186;
;0;341;29.5898737442833;
;0;342;29.676259234648;
;0;343;29.7626447250127;
;0;344;29.8490302153774;
;0;345;29.9354157057421;
;0;346;30.0218011961068;
;0;347;30.1081866864715;
;0;348;30.1945721768362;
;0;349;30.2809576672009;
;0;350;30.3673431575656;
;0;351;30.4537286479303;
;0;352;30.540114138295;
;0;353;30.6264996286597;
;0;354;30.7128851190244;
;0;355;30.799270609389;
;0;356;30.8856560997537;
;0;357;30.9720415901184;
;0;358;31.0584270804831;
;0;359;31.1448125708478;
;0;360;31.2311980612125;
;0;361;31.3175835515772;
;0;362;31.4039690419419;
;0;363;31.4903545323066;
;0;364;31.5767400226713;
;0;365;31.663125513036;
;0;366;31.7495110034007;
;0;367;31.8358964937654;
;0;368;31.9222819841301;
;0;369;32.0086674744948;
;0;370;32.0950529648595;
;0;371;32.1814384552242;
;0;372;32.2678239455889;
;0;373;32.3542094359536;
;0;374;32.4405949263183;
;0;375;32.526980416683;
;0;376;32.6133659070477;
;0;377;32.6997513974123;
;0;378;32.786136887777;
;0;379;32.8725223781417;
;0;380;32.9589078685064;
;0;381;33.0452933588711;
;0;382;33.1316788492358;
;0;383;33.2180643396005;
;0;384;33.3044498299652;
;0;385;33.3908353203299;
;0;386;33.4772208106946;
;0;387;33.5636063010593;
;0;388;33.649991791424;
;0;389;33.7363772817887;
;0;390;33.8227627721534;
;0;391;33.9091482625181;
;0;392;33.9955337528828;
;0;393;34.0819192432475;
;0;394;34.1683047336122;
;0;395;34.2546902239769;
;0;396;34.3410757143416;
;0;397;34.4274612047063;
;0;398;34.513846695071;
;0;399;34.6002321854356;
;0;400;34.6866176758003;
;0;401;34.773003166165;
;0;402;34.8593886565297;
;0;403;34.9457741468944;
;0;404;35.0321596372591;
;0;405;35.1185451276238;
;0;406;35.2049306179885;
;0;407;35.2913161083532;
;0;408;35.3777015987179;
;0;409;35.4640870890826;
;0;410;35.5504725794473;
;0;411;35.636858069812;
;0;412;35.7232435601767;
;0;413;35.8096290505414;
;0;414;35.8960145409061;
;0;415;35.9824000312708;
;0;416;36.0687855216355;
;0;417;36.1551710120002;
;0;418;36.2415565023649;
;0;419;36.3279419927295;
;0;420;36.4143274830942;
;0;421;36.5007129734589;
;0;422;36.5870984638236;
;0;423;36.6734839541883;
;0;424;36.759869444553;
;0;425;36.8462549349177;
;0;426;36.9326404252824;
;0;427;37.0190259156471;
;0;428;37.1054114060118;
;0;429;37.1917968963765;
;0;430;37.2781823867412;
;0;431;37.3645678771059;
;0;432;37.4509533674706;
;0;433;37.5373388578353;
;0;434;37.6237243482;
;0;435;37.7101098385647;
;0;436;37.7964953289294;
;0;437;37.8828808192941;
;0;438;37.9692663096588;
;0;439;38.0556518000235;
;0;440;38.1420372903882;
;0;441;38.2284227807528;
;0;442;38.3148082711175;
