wert,wert,wert,wert
s,t,U,I
391,46.97445384,-0.22,-0.088786229
392,47.09489952,-0.218,-0.088991955
393,47.21535802,-0.216,-0.088951305
394,47.33581426,-0.214,-0.088904634
395,47.45625204,-0.212,-0.088938788
396,47.57669974,-0.21,-0.088933781
397,47.69713348,-0.208,-0.088953421
398,47.81758538,-0.206,-0.088680044
399,47.93803306,-0.204,-0.088956997
400,48.05849088,-0.202,-0.088886902
401,48.17892422,-0.2,-0.089078173
402,48.29935586,-0.198,-0.088972971
403,48.4198029,-0.196,-0.089052722
404,48.54023426,-0.194,-0.089009896
405,48.66068452,-0.192,-0.088937148
406,48.78111984,-0.19,-0.089039758
407,48.90158058,-0.188,-0.088707045
408,49.02202892,-0.186,-0.089013413
409,49.1424887,-0.184,-0.08904548
410,49.26292058,-0.182,-0.089066431
411,49.38338634,-0.18,-0.088969693
412,49.50383292,-0.178,-0.089046255
413,49.62428182,-0.176,-0.089156523
414,49.74471534,-0.174,-0.089219764
415,49.86515618,-0.172,-0.089346007
416,49.98561496,-0.17,-0.08912538
417,50.10606044,-0.168,-0.089343175
418,50.22650896,-0.166,-0.089073464
419,50.34693604,-0.164,-0.089315608
420,50.4673975,-0.162,-0.089189962
421,50.5878325,-0.16,-0.089020535
422,50.7082856,-0.158,-0.088898882
423,50.82872536,-0.156,-0.089030668
424,50.94916724,-0.154,-0.089062765
425,51.06961358,-0.152,-0.08898215
426,51.19006076,-0.15,-0.089039549
427,51.31049182,-0.148,-0.088899627
428,51.43093678,-0.146,-0.089056447
429,51.551398,-0.144,-0.088776097
430,51.67184468,-0.142,-0.089080557
431,51.7923008,-0.14,-0.088817313
432,51.91274586,-0.138,-0.089112535
433,52.0332014,-0.136,-0.088992402
434,52.1536348,-0.134,-0.089039251
435,52.27409576,-0.132,-0.089099869
436,52.39454294,-0.13,-0.089039758
437,52.51500478,-0.128,-0.089142755
438,52.63544588,-0.126,-0.08896111
439,52.75589078,-0.124,-0.089134082
440,52.87631478,-0.122,-0.088754132
441,52.99679678,-0.12,-0.088934973
442,53.11724822,-0.118,-0.088924065
443,53.23769368,-0.116,-0.088948831
444,53.3581555,-0.114,-0.089003369
445,53.47859794,-0.112,-0.088977024
446,53.59905566,-0.11,-0.088995919
447,53.71949764,-0.108,-0.088989571
448,53.83994576,-0.106,-0.089039519
449,53.9603913,-0.104,-0.088738933
450,54.0808416,-0.102,-0.088883594
451,54.2012776,-0.1,-0.088972762
452,54.32171414,-0.098,-0.089012608
453,54.44217972,-0.096,-0.088994458
454,54.56262646,-0.094,-0.088887587
455,54.68307146,-0.092,-0.089017048
456,54.80352436,-0.09,-0.08879073
457,54.92397458,-0.088,-0.089038089
458,55.0444191,-0.086,-0.089044705
459,55.164883,-0.084,-0.088811532
460,55.28531468,-0.082,-0.088858292
461,55.40577082,-0.08,-0.088750884
462,55.5262053,-0.078,-0.088901088
463,55.6466694,-0.076,-0.088688001
464,55.76710072,-0.074,-0.088883147
465,55.8875673,-0.072,-0.088532791
466,56.00802098,-0.07,-0.088838413
467,56.12846284,-0.068,-0.088897571
468,56.24891428,-0.066,-0.088994548
469,56.36933926,-0.064,-0.089112148
470,56.4898121,-0.062,-0.088973656
471,56.61025028,-0.06,-0.089000002
472,56.73071536,-0.058,-0.088757977
473,56.85115714,-0.056,-0.088815793
474,56.97160972,-0.054,-0.088729545
475,57.09203656,-0.052,-0.088948831
476,57.21248092,-0.05,-0.08892943
