wert,wert,wert,wert
s,t,U,I
391,46.97422562,-0.22,-0.035197362
392,47.09467842,-0.218,-0.035204455
393,47.21513512,-0.216,-0.035201371
394,47.33558154,-0.214,-0.035198122
395,47.45601944,-0.212,-0.035189375
396,47.57645778,-0.21,-0.03518714
397,47.69690118,-0.208,-0.035168305
398,47.8173485,-0.206,-0.035163358
399,47.9377812,-0.204,-0.035159022
400,48.05823752,-0.202,-0.035153687
401,48.17867434,-0.2,-0.035161018
402,48.29912696,-0.198,-0.035159305
403,48.4195811,-0.196,-0.035173535
404,48.5400409,-0.194,-0.035177693
405,48.66045898,-0.192,-0.035198897
406,48.78093292,-0.19,-0.035199329
407,48.90139796,-0.188,-0.035212129
408,49.02184794,-0.186,-0.035212189
409,49.14231022,-0.184,-0.035205916
410,49.26274172,-0.182,-0.035208076
411,49.38318184,-0.18,-0.035207838
412,49.50362262,-0.178,-0.035202563
413,49.62407776,-0.176,-0.035199583
414,49.74450872,-0.174,-0.035195872
415,49.86496418,-0.172,-0.035196602
416,49.98540324,-0.17,-0.03519091
417,50.1058723,-0.168,-0.035185441
418,50.22630178,-0.166,-0.035175264
419,50.34675978,-0.164,-0.035168067
420,50.46720392,-0.162,-0.035163105
421,50.5876538,-0.16,-0.035158724
422,50.7081112,-0.158,-0.035150588
423,50.82855136,-0.156,-0.035134435
424,50.94901358,-0.154,-0.035127476
425,51.06943988,-0.152,-0.035112038
426,51.1898939,-0.15,-0.035100907
427,51.3103401,-0.148,-0.035094872
428,51.43079528,-0.146,-0.03508684
429,51.55122734,-0.144,-0.035082132
430,51.67168104,-0.142,-0.035084277
431,51.79212614,-0.14,-0.03509143
432,51.91255716,-0.138,-0.035095453
433,52.0330093,-0.136,-0.035101473
434,52.15344578,-0.134,-0.035082325
435,52.27391106,-0.132,-0.035107344
436,52.39435112,-0.13,-0.035127133
437,52.51481166,-0.128,-0.03513597
438,52.63525906,-0.126,-0.035170436
439,52.75570332,-0.124,-0.035185531
440,52.87614436,-0.122,-0.035221919
441,52.99659288,-0.12,-0.035248175
442,53.11703176,-0.118,-0.035257682
443,53.23750066,-0.116,-0.035256296
444,53.35792858,-0.114,-0.035248205
445,53.47835326,-0.112,-0.035227343
446,53.59881176,-0.11,-0.035204619
447,53.71926344,-0.108,-0.035185412
448,53.83970504,-0.106,-0.035159364
449,53.96015132,-0.104,-0.035152227
450,54.08060192,-0.102,-0.035149351
451,54.20105916,-0.1,-0.035161674
452,54.32151602,-0.098,-0.035180598
453,54.44196334,-0.096,-0.035192236
454,54.56241058,-0.094,-0.035222962
455,54.68284218,-0.092,-0.035230786
456,54.80329422,-0.09,-0.035252422
457,54.92373766,-0.088,-0.035245761
458,55.04418294,-0.086,-0.035231903
459,55.16462548,-0.084,-0.035222575
460,55.28507098,-0.082,-0.035191834
461,55.40552462,-0.08,-0.035153598
462,55.52596012,-0.078,-0.035114929
463,55.64642156,-0.076,-0.035091579
464,55.7668586,-0.074,-0.035057157
465,55.88731906,-0.072,-0.03504549
466,56.00775826,-0.07,-0.035025939
467,56.12818074,-0.068,-0.035025239
468,56.24862442,-0.066,-0.0350357
469,56.36905862,-0.064,-0.035046145
470,56.48951208,-0.062,-0.035070777
471,56.60995802,-0.06,-0.035075501
472,56.7304095,-0.058,-0.035100996
473,56.85084214,-0.056,-0.035107374
474,56.97130216,-0.054,-0.03513293
475,57.0917171,-0.052,-0.035143986
476,57.21218734,-0.05,-0.035151213
477,57.33262612,-0.048,-0.03516385
478,57.45308336,-0.046,-0.035164908
479,57.57351066,-0.044,-0.035179645
480,57.69393126,-0.042,-0.035172284
481,57.81440434,-0.04,-0.03518182
482,57.9348374,-0.038,-0.035175353
483,58.05527632,-0.036,-0.035164699
484,58.175701,-0.034,-0.035170734
485,58.29617208,-0.032,-0.035161644
486,58.41662764,-0.03,-0.035164684
487,58.53707392,-0.028,-0.035154358
488,58.65752028,-0.026,-0.035152465
489,58.77796644,-0.024,-0.035154387
490,58.8984023,-0.022,-0.03514722
491,59.01884924,-0.02,-0.035153106
492,59.13928028,-0.018,-0.035147235
493,59.25973038,-0.016,-0.035152569
494,59.3801907,-0.014,-0.035152048
495,59.50063308,-0.012,-0.03515999
496,59.62109726,-0.01,-0.03515932
497,59.74153678,-0.008,-0.035162508
498,59.86199202,-0.006,-0.035168886
499,59.9824298,-0.004,-0.035170972
500,60.10288874,-0.002,-0.035183281
501,60.2233414,0,-0.035184786
502,60.3441019,0.002,-0.035198271
503,60.46454452,0.004,-0.035203323
504,60.5849993,0.006,-0.035208747
505,60.70547032,0.008,-0.035211027
506,60.825915,0.01,-0.035211772
507,60.94635512,0.012,-0.035213709
508,61.06680286,0.014,-0.035204694
509,61.18726452,0.016,-0.035199791
510,61.30769858,0.018,-0.035186186
511,61.42815502,0.02,-0.035177439
512,61.5485923,0.022,-0.035167605
513,61.66905228,0.024,-0.035158426
514,61.7894813,0.026,-0.035155818
515,61.90994082,0.028,-0.035145015
516,62.03039128,0.03,-0.035146147
517,62.15083652,0.032,-0.035139591
518,62.27127638,0.034,-0.035137132
519,62.39173422,0.036,-0.035137668
520,62.51216536,0.038,-0.035136938
521,62.63260956,0.04,-0.035138637
522,62.75306482,0.042,-0.035139814
523,62.8734965,0.044,-0.03514123
524,62.99393584,0.046,-0.035143971
525,63.11438428,0.048,-0.03514497
526,63.23484738,0.05,-0.035155684
527,63.35528686,0.052,-0.03515251
528,63.47574092,0.054,-0.035156757
529,63.59617802,0.056,-0.035156488
530,63.71665452,0.058,-0.03515853
531,63.83710016,0.06,-0.035153821
532,63.95755958,0.062,-0.035151988
533,64.07799748,0.064,-0.035147548
534,64.19843434,0.066,-0.035142794
535,64.31889704,0.068,-0.035143852
536,64.43933418,0.07,-0.035135418
537,64.5597978,0.072,-0.035134897
538,64.68023674,0.074,-0.035134137
539,64.80069452,0.076,-0.035135478
540,64.92113576,0.078,-0.035132766
541,65.0416076,0.08,-0.035127506
542,65.16202964,0.082,-0.035135552
543,65.28248016,0.084,-0.03513217
544,65.4029125,0.086,-0.035132587
545,65.52337042,0.088,-0.035127416
546,65.64381028,0.09,-0.03513144
547,65.7642587,0.092,-0.035132021
548,65.88469346,0.094,-0.035136521
549,66.00512734,0.096,-0.035139725
550,66.12557878,0.098,-0.035138428
551,66.24602674,0.1,-0.035136044
552,66.36646516,0.102,-0.035139501
553,66.48689424,0.104,-0.035135269
554,66.60734298,0.106,-0.035136715
555,66.72778508,0.108,-0.035135016
556,66.84821838,0.11,-0.035133511
557,66.96865828,0.112,-0.035134211
