wert,wert,wert,wert
s,t,U,I
448,53.93890796,-0.106,-1.5565E-06
449,54.05934814,-0.104,-1.53328E-06
450,54.17980382,-0.102,-1.5091E-06
451,54.30024986,-0.1,-1.48581E-06
452,54.42069344,-0.098,-1.4616E-06
453,54.54113954,-0.096,-1.43905E-06
454,54.66158132,-0.094,-1.41478E-06
455,54.78204006,-0.092,-1.3907E-06
456,54.90246356,-0.09,-1.36511E-06
457,55.02293242,-0.088,-1.34263E-06
458,55.1433717,-0.086,-1.31905E-06
459,55.2638198,-0.084,-1.29512E-06
460,55.38425762,-0.082,-1.26983E-06
461,55.50472358,-0.08,-1.24386E-06
462,55.62517074,-0.078,-1.22031E-06
463,55.7455927,-0.076,-1.19404E-06
464,55.86606412,-0.074,-1.16853E-06
465,55.9865099,-0.072,-1.14312E-06
466,56.10695394,-0.07,-1.11737E-06
467,56.22738098,-0.068,-1.09187E-06
468,56.34782188,-0.066,-1.06571E-06
469,56.46824732,-0.064,-1.03928E-06
470,56.58870974,-0.062,-1.01192E-06
471,57.00414204,-0.06,-9.86049E-07
472,57.41962934,-0.058,-9.58997E-07
473,57.64407842,-0.056,-9.30968E-07
474,57.7792818,-0.054,-9.03777E-07
475,57.91445786,-0.052,-8.75551E-07
476,58.24065646,-0.05,-8.47031E-07
477,58.465116,-0.048,-8.18731E-07
478,58.60029654,-0.046,-7.9026E-07
479,58.73546524,-0.044,-7.60416E-07
480,58.8706232,-0.042,-7.31265E-07
481,59.00579416,-0.04,-7.00795E-07
482,59.14095352,-0.038,-6.71421E-07
483,59.27613148,-0.036,-6.40528E-07
484,59.41129374,-0.034,-6.09801E-07
485,59.54645878,-0.032,-5.77731E-07
486,59.68162894,-0.03,-5.46198E-07
487,59.81680782,-0.028,-5.13536E-07
488,59.951983,-0.026,-4.81096E-07
489,60.08713994,-0.024,-4.47018E-07
490,60.2223153,-0.022,-4.12866E-07
491,60.3574751,-0.02,-3.78911E-07
492,60.49265104,-0.018,-3.43716E-07
493,60.62781486,-0.016,-3.09043E-07
494,60.76301598,-0.014,-2.71818E-07
495,60.89817416,-0.012,-2.34915E-07
496,61.03336398,-0.01,-1.98151E-07
497,61.1685157,-0.008,-1.59671E-07
498,61.30369276,-0.006,-1.20653E-07
499,61.5803541,-0.004,-7.4214E-08
500,62.01293014,-0.002,-4.04846E-08
501,62.51882028,0,1.33298E-11
502,62.95171316,0.002,7.77283E-09
503,63.82490982,0.004,8.46157E-08
504,63.96012158,0.006,1.28676E-07
505,64.09530326,0.008,1.73014E-07
506,64.23048028,0.01,2.18988E-07
507,64.36565622,0.012,2.6581E-07
508,64.50081306,0.014,3.1269E-07
509,64.63600836,0.016,3.62358E-07
510,64.77117066,0.018,4.11031E-07
511,64.90635402,0.02,4.62737E-07
512,65.04152664,0.022,5.14238E-07
513,65.1767032,0.024,5.67084E-07
514,65.31187704,0.026,6.22027E-07
515,65.44707722,0.028,6.78988E-07
516,65.58225866,0.03,7.34508E-07
517,65.71742838,0.032,7.93725E-07
518,65.8526018,0.034,8.52578E-07
519,65.98778076,0.036,9.13051E-07
520,66.31398746,0.038,9.82069E-07
521,66.43447316,0.04,1.0457E-06
522,66.55491834,0.042,1.1119E-06
523,66.6753691,0.044,1.18064E-06
524,66.79582102,0.046,1.2487E-06
525,66.91625344,0.048,1.32166E-06
526,67.03672266,0.05,1.39437E-06
527,67.1571646,0.052,1.47091E-06
528,67.27762098,0.054,1.5484E-06
529,67.39806026,0.056,1.62688E-06
530,67.51853118,0.058,1.71065E-06
531,67.63897738,0.06,1.79495E-06
532,67.75944492,0.062,1.8804E-06
533,67.879887,0.064,1.96979E-06
534,68.000352,0.066,2.06225E-06
535,68.1207764,0.068,2.15618E-06
536,68.24121722,0.07,2.25321E-06
537,68.3616806,0.072,2.35127E-06
538,68.48211088,0.074,2.45793E-06
539,68.6025654,0.076,2.56301E-06
540,68.72300842,0.078,2.66597E-06
541,68.84347618,0.08,2.77978E-06
542,68.96391696,0.082,2.89204E-06
543,69.08437624,0.084,3.01119E-06
544,69.20480492,0.086,3.13254E-06
545,69.32526304,0.088,3.25676E-06
546,69.4457127,0.09,3.386E-06
547,69.5661588,0.092,3.51996E-06
548,69.68659162,0.094,3.65636E-06
549,69.8070534,0.096,3.7973E-06
550,69.92751264,0.098,3.94108E-06
551,70.04795782,0.1,4.08939E-06
552,70.1684226,0.102,4.24579E-06
553,70.28886394,0.104,4.40483E-06
554,70.40932276,0.106,4.56546E-06
555,70.52975774,0.108,4.73214E-06
556,70.65021814,0.11,4.90506E-06
557,70.77065744,0.112,5.0835E-06
558,70.89109766,0.114,5.26955E-06
559,71.01154002,0.116,5.4552E-06
560,71.13199084,0.118,5.65344E-06
561,71.25242366,0.12,5.85052E-06
562,71.37287974,0.122,6.05937E-06
563,71.49332162,0.124,6.27607E-06
564,71.6137778,0.126,6.49108E-06
565,71.7342297,0.128,6.72246E-06
