t / s;T_1 / °C;T_2 / °C;T_3 / °C;T_4 / °C;&DT / °C
394;16,5;23,9;12,1;27,5;-7,4
395;16,4;23,9;12,1;27,5;-7,5
396;16,3;24;12,1;27,5;-7,7
397;16,3;24;12,1;27,5;-7,7
398;16,3;24;12,1;27,5;-7,7
399;16,4;24,1;12;27,5;-7,7
400;16,4;24,1;12;27,5;-7,7
401;16,4;24,1;12;27,6;-7,7
402;16,4;24,1;12;27,6;-7,7
403;16,4;24,1;12;27,6;-7,7
404;16,3;24,1;12;27,6;-7,8
405;16,2;24,1;12;27,6;-7,9
406;16,1;24,1;11,9;27,6;-8
407;16;24,1;11,9;27,6;-8,1
408;16;24,1;11,9;27,6;-8,1
409;16;24,1;11,8;27,6;-8,1
410;15,9;24,1;11,8;27,7;-8,2
411;15,9;24,1;11,8;27,7;-8,2
412;15,9;24;11,7;27,7;-8,1
413;15,9;24;11,7;27,7;-8,1
414;16;24;11,7;27,7;-8
415;16;24;11,7;27,7;-8
416;16;24;11,7;27,7;-8
417;16;24;11,7;27,7;-8
418;16;24;11,7;27,7;-8
419;16;24;11,6;27,7;-8
420;16;24,1;11,6;27,7;-8,1
421;16;24,1;11,6;27,7;-8,1
422;16;24,1;11,6;27,7;-8,1
423;16;24,1;11,6;27,7;-8,1
424;16;24,1;11,5;27,7;-8,1
425;16;24,1;11,5;27,7;-8,1
426;16;24,1;11,5;27,7;-8,1
427;16;24,1;11,4;27,7;-8,1
428;16;24,1;11,4;27,7;-8,1
429;16;24,1;11,4;27,7;-8,1
430;16;24,1;11,4;27,7;-8,1
431;16;24,1;11,3;27,7;-8,1
432;16;24,2;11,3;27,7;-8,2
433;16;24,2;11,3;27,7;-8,2
434;16;24,2;11,3;27,7;-8,2
435;15,9;24,2;11,3;27,7;-8,3
436;15,9;24,2;11,2;27,7;-8,3
437;15,8;24,2;11,1;27,7;-8,4
438;15,7;24,2;11,1;27,7;-8,5
439;15,7;24,3;11,1;27,7;-8,6
440;15,6;24,3;11,1;27,7;-8,7
441;15,6;24,3;11,1;27,7;-8,7
442;15,6;24,3;11,1;27,7;-8,7
443;15,6;24,3;11;27,7;-8,7
444;15,6;24,3;11;27,7;-8,7
445;15,6;24,3;11;27,7;-8,7
446;15,6;24,3;11;27,7;-8,7
447;15,5;24,3;11;27,7;-8,8
448;15,5;24,3;10,9;27,7;-8,8
449;15,5;24,4;10,9;27,7;-8,9
450;15,4;24,6;10,9;27,7;-9,2
451;15,4;24,7;10,9;27,7;-9,3
452;15,4;24,8;10,9;27,7;-9,4
453;15,4;24,9;10,9;27,6;-9,5
454;15,4;25,2;10,9;27,6;-9,8
455;15,4;25,4;10,9;27,6;-10
456;15,3;25,8;10,9;27,6;-10,5
457;15,3;25,9;10,9;27,6;-10,6
458;15,4;25,9;10,9;27,6;-10,5
459;15,4;25,9;10,9;27,6;-10,5
460;15,3;26;10,9;27,6;-10,7
461;15,8;25,5;10,9;27,6;-9,7
462;15,5;25,5;11;27,6;-10
463;15,4;25,6;11;27,6;-10,2
464;15,3;25,7;11;27,6;-10,4
465;15,3;25,9;11;27,6;-10,6
466;15,3;25,8;11;27,6;-10,5
467;15,3;25,7;11;27,5;-10,4
468;15,3;25,4;11;27,5;-10,1
469;15,4;25,5;11;27,5;-10,1
470;15,5;25,4;11;27,5;-9,9
471;15,5;25,5;11;27,5;-10
472;15,6;25,5;11;27,5;-9,9
473;15,6;25,5;11;27,5;-9,9
474;15,7;25,5;11;27,4;-9,8
475;15,8;25,4;11;27,4;-9,6
476;16,1;25,3;11;27,4;-9,2
477;16,2;25,5;11;27,4;-9,3
478;16,4;25,5;11;27,4;-9,1
479;16,3;25,5;11;27,3;-9,2
480;16,1;25,5;10,9;27,3;-9,4
481;16;25,5;10,9;27,3;-9,5
482;15,9;25,5;10,9;27,3;-9,6
